"id";"campaign_id";"coupon_id";"redemption_status";"customer_id";"age_range";"marital_status";"rented";"family_size";"no_of_children";"income_bracket"
1;13;27;0;1053;"46-55";"";0;1;"";5
2;13;116;0;48;"36-45";"Married";0;2;"";3
6;9;635;0;205;"46-55";"Married";0;2;"";7
7;13;644;0;0;"";"";0;0;"";0
9;8;1017;0;1489;"46-55";"Married";0;2;"";3
11;11;795;0;793;"46-55";"";0;2;"1";5
14;9;444;0;590;"36-45";"";0;2;"";1
15;29;538;0;368;"36-45";"";0;1;"";5
17;30;857;0;0;"";"";0;0;"";0
19;2;559;0;679;"36-45";"Single";1;2;"";4
20;9;575;0;108;"46-55";"";0;1;"";5
21;13;1028;0;89;"46-55";"";0;1;"";3
22;9;705;0;712;"46-55";"Married";0;3;"1";5
23;13;517;0;1067;"46-55";"";0;1;"";5
24;5;893;0;0;"";"";0;0;"";0
25;13;796;0;248;"36-45";"Single";0;1;"";3
26;11;506;0;1464;"18-25";"";0;1;"";1
27;5;689;0;186;"26-35";"";0;2;"";4
28;13;268;0;1152;"46-55";"";0;3;"1";10
29;8;8;0;695;"56-70";"Married";0;2;"";6
30;8;674;0;886;"46-55";"Married";0;3;"1";5
32;30;320;0;0;"";"";0;0;"";0
33;12;109;0;553;"36-45";"Married";0;3;"1";11
34;8;278;0;1398;"36-45";"Single";0;1;"";2
35;13;1031;0;1031;"36-45";"";0;1;"";2
39;26;326;0;0;"";"";0;0;"";0
42;30;363;0;0;"";"";0;0;"";0
43;8;911;0;197;"18-25";"";0;4;"2";4
45;8;383;0;0;"";"";0;0;"";0
46;13;482;0;0;"";"";0;0;"";0
48;26;813;0;0;"";"";0;0;"";0
51;13;118;0;917;"36-45";"";0;2;"";3
52;5;663;0;828;"18-25";"Single";1;2;"1";1
54;30;332;0;958;"36-45";"Single";0;1;"";8
55;30;500;0;0;"";"";0;0;"";0
56;8;757;0;0;"";"";0;0;"";0
58;30;1067;0;124;"46-55";"Married";0;2;"";6
61;8;87;0;0;"";"";0;0;"";0
62;26;905;0;0;"";"";0;0;"";0
63;13;1114;0;1381;"70+";"Single";0;2;"";4
65;13;152;0;0;"";"";0;0;"";0
66;8;57;0;72;"26-35";"Single";0;3;"2";1
69;8;383;0;0;"";"";0;0;"";0
71;8;271;0;0;"";"";0;0;"";0
72;13;413;1;276;"46-55";"";0;2;"";5
74;26;582;0;0;"";"";0;0;"";0
75;30;333;0;0;"";"";0;0;"";0
77;13;485;0;861;"70+";"";0;2;"";3
79;30;256;0;1383;"26-35";"Married";0;2;"";5
80;11;980;0;0;"";"";0;0;"";0
82;29;538;0;0;"";"";0;0;"";0
83;8;700;0;19;"46-55";"";0;1;"";3
84;2;628;0;384;"36-45";"Single";0;1;"";3
85;13;136;0;0;"";"";0;0;"";0
86;29;750;0;113;"56-70";"Married";0;2;"";4
88;26;854;0;1210;"46-55";"Married";0;2;"";5
90;8;761;0;0;"";"";0;0;"";0
91;8;383;0;1475;"70+";"";0;3;"2";1
92;3;828;0;0;"";"";0;0;"";0
93;13;881;0;0;"";"";0;0;"";0
95;13;129;0;1444;"46-55";"Married";0;2;"";12
